district_name,name,category,course,address
강동구,생각하는통합논술교습소,입시.검정 및 보습,,서울특별시 강동구 고덕로61길 35
강동구,구름고래논술교습소,입시.검정 및 보습,,서울특별시 강동구 아리수로98길 25
노원구,매쓰케이수학학원,입시.검정 및 보습,보습,서울특별시 노원구 한글비석로 530
강남구,대치청연외고관학원,입시.검정 및 보습,보습·논술,서울특별시 강남구 삼성로64길 45
강남구,대치수학작가학원,입시.검정 및 보습,,서울특별시 강남구 역삼로 441
마포구,한우리독서논술교습소,입시.검정 및 보습,보습·논술,서울특별시 마포구 독막로 144
성동구,깊은셈수학교습소,입시.검정 및 보습,,서울특별시 성동구 행당로 84
강서구,도담수학학원,입시.검정 및 보습,보습·논술,서울특별시 강서구 강서로62길 98
강남구,엘뮤플러스학원,예능(대),,서울특별시 강남구 논현로159길 18
서초구,더수학교습소,입시.검정 및 보습,,서울특별시 서초구 방배로 58
강동구,토크와이즈스튜디오학원,입시.검정 및 보습,보습,서울특별시 강동구 양재대로 1341
은평구,청어람학원,입시.검정 및 보습,보습·논술,서울특별시 은평구 연서로 194
중랑구,해네쓰시사토론독서중심국어교습소,입시.검정 및 보습,보습,서울특별시 중랑구 면목로27길 12
마포구,하이신수학교습소,입시.검정 및 보습,,서울특별시 마포구 대흥로24길 24
